,Sentence,label
7048,Ban agoithalla bro Inna yenidhru tamte saddhu yerd steppu  ashte,Hope
5742,Super song in kannba super song,Hope
5812,Singer voice awesome,Hope
512,Amazing trailer ಹೊಸ ತರಹದ ಪ್ರಯತ್ನ ಚಿತ್ರ ತಂಡಕ್ಕೆ nಶುಭವಾಗಲಿ 100 ದಿನಗಳು ಪೊರೈಸಲಿ nಅಪ್ಪು ಬಾಸ್ ಅಭಿಮಾನಿಗಳ ಪರವಾಗಿ ಗುಡ್ ಲಕ್ ಆಲ್ ದಿ ಬೆಸ್ಟ್,Not-Hope
5083,Masts togari tipp,Not-Hope
1627,Different aagide song... n,Not-Hope
4134,Kannada cinema nimma antha budhijeevi na ullaskollalike agilla antha tumbaa bejaar aagute.,Hope
5287,ಇನ್ನು ಟಿಕ್ ಟಾಕ್ ಮಾಡೋ ಚೂತ್ಯಾ ಸೂಳೆ ಮಕ್ಕಳಿಗೆ ಅಡ್ಡಡ್ಡಾ ಕಟ್ ಮಾಡ್ಬೇಕು,Not-Hope
2948,Ondu varshakke 1or2 film madodkintha entha ondu olle film madidre kannada industry ellige ogutthe,Not-Hope
6995,Super bro ninu,Hope
4452,ಈಗಲಾದರೂ ಜನ ರಾಜಕಾರಣವನ್ನ ಒದ್ದೋಡಿಸಿ,Hope
7022,Guru ellidde guru real Tallent irodhu ninge,Hope
2679,ಈ ಚಿತ್ರದಲ್ಲಿ ಯಾವ್ ರೇಂಜ್ ಗೆ ಗ್ರಾಫಿಕ್ಸ್ ಮಾಡಿದ್ದಾರೆ ಅಂತ ಮತ್ತೊಬ್ಬ vfx ಆರ್ಟಿಸ್ಟ್ ಗೆ ಗೊತ್ತಾಗೋದು,Hope
5144,ಗುರುಗಳೇ  ನನ್ನ ಹೆಸರು ಗವೀಶ್  ಕೊಪ್ಪಳ.nನಾನು ಚಿಕ್ಕವನಿದ್ದಾಗ ತೊಗರಿ ತಿಪ್ಪನ ಕಥೆಯನ್ನು  ಕೇಳಿದ್ದೆ,Not-Hope
3157,ayoo super annaaaa,Hope
4149,ವಿಜಯ್ ಮಲ್ಯ ಅವರೇ,Hope
2506,Entertainment Andre hidu huliyaaaa,Hope
6371,@prithvi nayak Roberrt bangada goth aagutte,Not-Hope
1043,ನಿಮ್ಮ ಅವ್ವ ಸೂಳೆ,Not-Hope
1670,ಡಿ ಬಾಸ್ ಅಭಿಮಾನಿ nಸೂಪರ್ ಅಣ್ಣ,Hope
6920,ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ರವರ ಚಿತ್ರ ಮತ್ತು ಅಜನೀಶ ರವರ ಸಂಗೀತದ ಈ ಹಾಡು ಕೇಳತಾ ಇದ್ರೆ... ಹಂಸಲೇಖ ಹಾಗೂ ರವಿಚಂದ್ರನ್ ರವರ ಹಾಡುಗಳೇ ನೆನಪಾಗುತ್ತೆ... ಚಿತ್ರತಂಡಕ್ಕೆ ಶುಭವಾಗಲಿ...nನಾಗಾರ್ಜುನ ಶರ್ಮಾರವರ ಸಾಹಿತ್ಯ,Hope
4310,ಶಂಭು ಬಳಿಗಾರವರೆ ತುಂಬಾ ಧನ್ಯವಾದಗಳು ಹಾಸ್ಯ ಜಾನಪದ ಕಥೆ,Hope
7176,Vijapura distica sindagiya tetaranalli e song cut madiddare yaradaru vicharisabekagi vinanti,Not-Hope
3177,Super video madiddira,Not-Hope
6885,Wt a song,Not-Hope
1808,Sir nivu bare swalpa sulu heleteraa,Not-Hope
1613,Yavano avn bosudk unlike madiddu,Not-Hope
5072,super comedy drama togari tippa,Not-Hope
627,ಹಾ ದೇವರು ಒಳ್ಳೆಯವರಿಗೇ ಯಾವಾಗಲೂ ಕಷ್ಟ ಕೋಡದು ಸರ್ ನಿಮಗೇ ಒಳ್ಳೆದಾಗಲ್ಲಿ... ಸರ್..,Hope
2101,ಸರ್ ನಿಮಗೆ ಇನ್ನು  ಸಿನಿಮಾದಲ್ಲಿ ನಟನೆ ಮಾಡೋಕ್ಕೆ ಚಾನ್ಸ್ ಸಿಗಬೇಕು,Hope
4008,@Madhu Madhu hello bro navu tulunad navru tulu namma matru bashe aste abhimana kannada bashe melu ide,Not-Hope
523,Appu boss fan's like mdi,Not-Hope
5189,@Vasantha Setty illi gojjekesari Yash du nayinu musalla,Not-Hope
327,ಯಾದಗಿರಿ ಜಿಲ್ಲಾ ಶಾಪುರ್ ತಾಲ್ಲೂಕು ಡಿ ಬಾಸ್ ಅಭಿಮಾನಿಗಳು   ಕಡೆಯಿಂದ ಪ್ರಜ್ವಲ್ ದೇವರಾಜ್ ಮೂವಿ ಜೆಂಟಲ್ಮ್ಯಾನ್ all theಬೆಸ್ಟ್ ಸೂಪರ್ ಟ್ರೈಲರ್,Hope
6379,ansodenu avrdu love merrid soo life ali obrigobru arta madkondu nambke na beliskondu prethina uliskondu... chanagiri,Not-Hope
157,ಈ ಹಾಡು ನೋಡ್ತಾ ಇದ್ರೆ ಶಂಕ್ರಣ್ಣ ನೆನಪಾಗ್ತರೆ,Hope
6577,@Arman Babu anna ... thappu thilibedi.  I APPRECIATE YOUR KIND NATURE.  jai kannada. Happy Sunday .,Not-Hope
3769,ಲೈಕ್ ಯಾಪಿ ಚಿನ್ನದ ತಾನೆ,Not-Hope
5961,Kannda Alli Enta Movie Barbeku Sandalwood Rock,Hope
4299,ಶಂಭು ಬಳಿಗೇರ ಗುರುಗಳೇ ನಿಮಗೆ ಧನ್ಯವಾದಗಳು ನಿಮ್ಮಕಥೆ ಹೇಳುವ  ಶೈಲೀಗೆ ನಮನಗಳು,Not-Hope
594,Preethi ge praana bidovru Idara ??,Not-Hope
7197,First time movie nodoru taleli uoohe screenply ittukondu nodbedi freedomagi nodi movie superagide kanndada hosatana adduriyagi kanutte guru movi superrrrrr,Hope
4450,Super video sir,Hope
4187,Drivergalu yavttidru king  proud of my job,Not-Hope
2565,ಬಾಯ್ ಬಡ್ಕೊಬೇಕು ಹಾಡು ಕೇಳಿದರೆ,Not-Hope
89,Broo niv aadtiraa game yavdu,Not-Hope
4324,2019 ರಲ್ಲಿ ಈ ಕಥೆ ಯಾರ್ ಯಾರ್ ಕೇಳಿರೆಪಾ,Not-Hope
3974,ಹಾಡು ಅತ್ಯದ್ಭತವಾಗಿ ಬಂದಿದೆ.. ಸಾಹಿತ್ಯ ತುಂಬಾ ಗಟ್ಟಿಯಾಗಿ ಇದೆ..,Hope
1120,nice song love u ..... song ....... nice dancee ....... superrrr,Not-Hope
1335,complete kwatley guru ninu..,Hope
4840,ಬಿಟ್ಟ ಹೋಗಿರೋ ರಶ್ಮಿಕಾ ಗೆ ಹೇಗ್ ಆಗ್ಬೇಕು ಗೊತ್ತಾ ಯಾಕಾದ್ರೂ ಬಿಟ್ಟ ಹೋದೆ ರಕ್ಷಿತ ಅವರನ್ನ ಅಂತ ಫೀಲ್ ಆಗ್ಬೇಕು ಆ ತರಾ success ನಿಮ್ಮದಾಗಲಿ ಶ್ರೀನಮ್  ನಾರಾಯಣ ಸಿನಿಮಾ,Hope
6931,Hit bidu guru,Not-Hope
4994,super togari tippa,Hope
3668,sp song jai D. Boss,Not-Hope
5504,Wow wow wow wow wow..Lovely guru,Not-Hope
3240,Shankar Patil siddun6362323307n1984nSGGID,Not-Hope
4881,Super song buddy,Hope
5889,@Vinay Vn sule maga neenu ade bere ide bere,Not-Hope
1136,ಮೆರೆಯಲಿ ಕನ್ನಡದ,Not-Hope
3684,Bro tiktok ban agide adhre barute ide swalpa settings ge hogi Language Change madi  Barute,Hope
81,Super bro,Hope
3673,Game name heli,Not-Hope
2745,All indians plz uninstall  chinese app,Not-Hope
7427,Adru namboru thumba Jana edare sir,Hope
6879,Enu guru song saktha kick kodtha edae..super ASN,Not-Hope
6925,Waiting for the film.....ನೋಡಲು ಕಾತುರನಾಗಿದ್ದೇನೆ,Not-Hope
1029,@Nandi Parthasarathi ninamman shata kilaka helde baa antha gandu,Not-Hope
5982,Super pa annaji full maja aitu,Not-Hope
4077,Kannada film  industry avaru sir solpa nodi rii yen madta ididra inta ashvath sir avara maga ondu sanni veshe dalli kalsa Kodi,Hope
1059,@Nandi Parthasarathi nanna shanta samana Bollywood Hollywood sulemagne modlu ninna ಮಾತೃಭಾಷೆ ಬೆಳಸು adu yare hero aagli,Not-Hope
2778,Sari nivu video na roast madi adre madvaga pubg atava free fire games hakondo madbedi a games kooda Chinese,Not-Hope
4785,Hen music guru,Not-Hope
5373,1.7k dislikes rashmika fans,Not-Hope
6475,enu tiktok use madorige mariyadi ela avru indian ne ala..,Not-Hope
6225,Heege innu chennaga bairi e chena nanmaklige App Ban madidd olled aytu hage avru kade tariskollo 3000 things stop madbeku aga buddi barutt avrge,Not-Hope
4387,ದೇಶ ಬದಲಾವಣೆ ಆಗಬೇಕು ಸರ್,Hope
6581,@Sharath T Lo comment maadbeku anstu maaddhe Telugu commenta nange Telugu baralla...idhu Kannada song marre,Not-Hope
4884,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,Not-Hope
2668,100 million agbeku,Not-Hope
614,ಕ್ಷಮಿಸಿ.... ಒಳ್ಳೆಯತನಕ್ಕೆ ಇಲ್ಲಿ ಬೇಲೆ ಇಲ್ಲ...,Hope
570,ಟ್ರೈಲರ್ ನೋಡುದ್ರೆ ಕ್ಯುರ್ಯಾಸಿಟಿ ತುಂಬಾ ಇದೆ ಸಿನಿಮಾ ನೋಡಬೇಕು ಚೆನಾಗಿರುತ್ತೆ ಅಂತ ಭಾವಿಸ್ತಿನಿ ಆಲ್ ದಿ ಬೆಸ್ಟ್ ಯಶ್ ಬಾಸ್ ಫ್ಯಾನ್ಸ್ ಕಡೆಯಿಂದ,Hope
5636,Guru China rajakiya vyavaste bagge video madi,Not-Hope
7118,Paramvah Music inn,Not-Hope
2737,Bro Ten minutes + video madi bro niuo mado video na nodta edre nodtane erbeku anisutte,Hope
108,Big fan - kerala,Not-Hope
3305,Bgm ಇಷ್ಟ ಪಟ್ಟವರು like ಮಾಡಿ..,Not-Hope
6889,Lo gube don't compare anyone yellaru namma kannada super star,Not-Hope
6838,Hindi ..Kannada ..haadugala hatrakkku barukke sadhyene illa,Not-Hope
2540,Kadak,Not-Hope
5962,ಪಕ್ಕಾ ಈ ಮೂವಿ ಪ್ರಜ್ವಲ್ ಕೆರಿಯರ್ ನ ಚೇಂಜ್ ಮಾಡುತ್ತೆ ಅನ್ನೋರು ಲೈಕ್ ಮಾಡಿ,Hope
4230,ಅಂತಾ ದೊಡ್ಡ ಮನುಷ್ಯನ ಹೊಟ್ಟೆಲಿ ದೊಡ್ಡಮನುಷ್ಯಾನೆ ಹುಟ್ಟೋದುಶ್ರಮ ಜೀವಿ ಸರ್ ನೀವು,Hope
2411,No.1 trading guru....ASN,Not-Hope
1857,Este antha helakkagall nija edhru erabahudu,Not-Hope
5471,Bro valledu yarigu bega kaansodilla,Not-Hope
2205,Views struck aagide guru,Not-Hope
4007,Kannada nadu only,Not-Hope
1014,Hope this movie will rule Indian cinema... ಅವನೇ ಶ್ರೀಮಾನ್ ನಾರಾಯಣ ಇನ್ನು ಹಲವು ಭಾಗಗಳಾಗಿ ಕನ್ನಡ ಚಿತ್ರರಂಗದಲ್ಲಿ ಅವತಾರಗಳನ್ನು ತಾಳುವುದರಲ್ಲಿ ಸಂಶಯವೇ ಇಲ್ಲ.,Not-Hope
4963,Super movie nim movie all time record agbeku  uppi fans,Hope
4671,Super taxi vali baby,Not-Hope
7252,100 alla 200 million agutte,Hope
2003,Hats up rakshit,Not-Hope
5833,Supar friend supar,Not-Hope
2165,ಈಗಿನ ಕಾಲದ ಸ್ವಾಭಿಮಾನಿ ಮನುಷ್ಯ Hand's up sir,Hope
7215,Shankar nag boss tara yaru barala barake agala adu bandre adu uppi avru matra aste ..always king mekar is uppi and Shankar nag bossssssssss,Hope
5237,@Nandi Parthasarathi ನಿಮ್ಮ ಅಪ್ಪ ಗಂಡ್ಸ...?? 🤔🤔🤔,Not-Hope
6611,Dboss murkha abhimani galu,Not-Hope
207,Kannadad nijvad hero,Not-Hope
2232,@10 R neen hange badko avaginda yaavno balegaara ante avn hesr badkothiddiya.. hogi aa balegaaran tunne unn hogu... Sumne harkollodalla,Not-Hope
2874,Sup song    HANDS UP  ASN,Not-Hope
2399,Adre ivaga beda. Ee COVID-19 ella mugibeku,Hope
968,Song super Ede bro,Not-Hope
2981,@VARAPRASAD K K nin Amman thulle shaata bekaadre helu nin chulbort movie hair wig ge . Dagaar boss cutout bekaadre helu dappa  sodane hodkodtivi ondu maatu helu saaku haage shaatad haara redi maadustivi ashtu salalilla Andre helu mettin haara maadustivi dagaar fans nin Amman ganda dagaar soole maga Hale aanti iddange idaanallo avnige kodu bale,Not-Hope
7074,. Hindi Ali,Not-Hope
692,My like video,Not-Hope
5862,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,Not-Hope
657,ಕನ್ನಡ ನಾಡಿನ ಜನತೆಗೆ ನಿಮ್ಮಕದರ್,Not-Hope
6249,Super guru hinmele  nanu nimmn Abimani guru,Not-Hope
6790,Jai rakshith shetty,Not-Hope
190,Idappa kannada song andre KFI back on track,Not-Hope
2488,ಸಾಹಿತ್ಯನ ಬರೆದಿದ್ದಕ್ಕೆ ಧನ್ಯವಾದಗಳು.,Not-Hope
7265,ಚರಿತ್ರೆ ಇದೆ. ಇದು ಒಂದು ದಂತಕಥೆ.,Hope
4534,ಇದು‌ ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ,Hope
6664,ಸೂಪರ್  ಲಿರಿಕ್ಸ್,Hope
3128,Guru super,Hope
7513,Telugu lyrics super,Hope
2477,Nice move in kannada,Not-Hope
2758,Bro iverella made in china,Not-Hope
3765,Your voice super,Not-Hope
2587,Unique Signature Step ‍,Not-Hope
1197,Rashmika dagar munde,Not-Hope
1844,Namma manege bandidru avarige nanu nan dress kottu aliside,Not-Hope
2368,ಈ ಹಾಳಾದ ಕೋರೋನ ವೈರಸ್ ಬಂದು ದಿಯಾ ಲವ್ ಮಾಕಟೈಲ್ ಚಿತ್ರಗಳಿಗೆ ತುಂಬಾ ನಷ್ಟ ಉಂಟಾಗಿದೆ...but Don't worry u get best reviews.. All the best for ur nxt movies,Hope
4285,ನಾವು ಸಣ್ಣವರದ್ದೀಗಾ ಈ ನಾಟಕ ಹಳೇ ನೆನಪು ಬರತ್ತ ಇದೆ ಇದನ್ನ ಕೇಳಿ ಪುನಃ ಪುನಃ ಕೇಳಬೇಕು ಅನಿಸುತ್ತೆ ಶಂಭು ಬಳಿಗಾರ ದೊಡ್ಡ ನಮಸ್ಕಾರ ಇದೇ ತರ ನುಚ್ಚಿನ ಮಲ್ಲಯ್ಯ ನಾಟಕ ಆಪ್ ಲೋಡ್ ಮಾಡಿ,Hope
3333,@Nandi Parthasarathi adu oscar ascar alla..🤣 graphics ge pakka oscar kodtare🤣,Not-Hope
5901,E film adru chenag odli,Hope
4419,ಚೀನಾ ಕಾಮಿನಿಸ್ಟ್  ದೇಶ.? ನಮ್ಮ ದೇಶದಲಿ ರಾಜಕೀಯ  106 ಪಾರ್ಟಿ. n106 ಕ್ಯಾಸ್ಟ್.  106 ಧರ್ಮ . 1006 ಮಾತುಗಳು ಸಮಸ್ಯೆಳು,Not-Hope
1012,En song guru fidha agode....Idhu charithre srustiso avatharaaa... Signature step shuruhachkoli inna..,Not-Hope
2792,Anna super anna  🥰🥰🥰🥰  anna mind super,Hope
2998,@gowtham gowtham Kiccha nimamman oorsoole nimammam thullige bale sigskondu keythivi hushaaru sik sikkid kade thika kodtha edre hardu oorbaglu madthivi amele doctorgu holge jaga erbardu hange keythivi beware bale pans 🤣🤪,Not-Hope
4597,Super song nam Kannada song,Not-Hope
6661,ಹೌದೋ ಹುಲಿಯ,Not-Hope
6990,Áÿįøøøøø super broooo love u,Hope
1581,JASTI COMMETS MADIRODHU D,Not-Hope
705,Pakka! And KGF Chapter II ಇದಕ್ಕಿಂತ inna ದೊಡ್ಡ ರಾಜ್ಯ ನೇ ಕಟ್ಟುತ್ತೇ! Waiting for Asn & KGF II,Hope
4474,2020 Blockbuster hit movie. Jai Karnataka,Not-Hope
6231,Bro avarage ennu ugi sattiro yodrali avara gadano magano edidre e mathu helatiralila yaaro gand yaarado makkalu  e naayigalage yena alvaa tu prati yodanu Namma ge Anna tamma avara Namma vastu tilakori naayigalaa,Hope
4822,ಈ ಫಿಲ್ಮ್ ಯಾವ ಲೆವೆಲ್ಲಿಗೆ Super Hit ಆಗಬೇಕು ಅಂದ್ರೆ ರಶ್ಮಿಕಾ ಮಂದಣ್ಣ ಮುಟ್ಟಿ ನೋಡಿಕೊಳ್ಳುವ ಹಾಗೆ,Not-Hope
2199,ನಕಾರಾತ್ಮದ ಸಣ್ಣ ಗೆರೆಯನ್ನು ಕಾಣಲಿಲ್ಲ ವ್ಯಕ್ತಿತ್ವದಲ್ಲಿ ನಮಗೆ ಆದರ್ಶ ನೀವು..,Hope
6820,Slow poisoning song,Not-Hope
1958,After #ASN MOVIE,Not-Hope
3710,Pubg kooda ban agbeku guru..,Not-Hope
5693,ಕನ್ನಡಿಗರ ಪವರ್ ಕನ್ನಡಿಗರು  ತಾಕತ್ all pan  ಮೂವಿ  ಕನ್ನಡಿಗರು......,Hope
2699,@Aiswarya Soundarya HI mem vge,Not-Hope
3156,ಗುರುವೇ ಇವತ್ತಿನಿಂದ ನಿನ್ನ ಫ್ಯಾನ್ ಆಗಬಿಟ್ಟೆ... ನನ್ನ ದೇಶಾ ನನ್ನ ಹೆಮ್ಮೆ.... ಯಲ್ಲರು ಭಾರತೀಯ ವಸ್ತುಗಳನ್ನೇ ಬಳಸಿ ಭಾರತವನ್ನು ಉಳಿಸಿ.... ಜೈ ಹಿಂದ್..... ತೆನೆ ತೆನೆ ಕುಡಿದ್ರೆ ರಾಶಿ ಹನಿ ಹನಿ ಕುಡಿದ್ರೆ ಹಳ್ಳಾ...... ಪ್ಲೀಸ್ ಯಲ್ಲರು ಇನ್ನ ಆದ್ರೂ ಒಗ್ಗಟ್ಟಾಗಿ ದೇಶದ ಪರವಾಗಿ ನಿಲ್ಲಿ.... ಜೈ ಹಿಂದ್,Not-Hope
6570,May God bless you Shankar,Hope
2513,ಇದು ಪಕ್ಕ ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರನೇ....,Hope
1038,@Nandi Parthasarathi balegar bale bale 🤣🤣🤣 matte ninna akkna minda kano nanu mindri magne randi maga ninu bere heros bagge kettadagi comments madodu bidu navu yaru tantegu hoglla boss tantege bandre gottala,Not-Hope
7390,Ashvathama nali bandu nimagu meet agtare nivo wait maadi,Not-Hope
4547,ನಿಜಕ್ಕೂ ಇದು ಚರಿತ್ರೆ  ಸೃಷ್ಟಿಸೊ ಅವತಾರ,Not-Hope
4457,ಸರ್ ಈ ತರಹ  ಸ್ಪೀಚ್ ಬೇಕು  ಪ್ರತಿ ನಿತ್ಯ  ಇಂತಹ  ವೀಡಿಯೋಸ್ ಬೇಕು  ಸರ್  ತುಂಬಾ ಧನ್ಯವಾದಗಳು,Hope
1916,Film nodidmele ee song ge addict aadavaru like maadinYalllrigu thanks for 1000 likes,Not-Hope
3816,Nin voice and dialogues ge fidha guru 🤣🤣🤣🤣🤣,Not-Hope
4530,Trend setter! Awesome!,Hope
7374,hai gaya husharaytha,Not-Hope
609,ಸರ್ ಅದು ಗೆದ್ದೇ,Not-Hope
130,Simple stara supera,Not-Hope
6637,traditional man in Karnataka,Not-Hope
4837,E song alli flare gun ide,Not-Hope
3998,Legit gaming ಅದು ಒಂದ್ ಪದ ಬಿಟ್ಟು ನೋಡು,Not-Hope
1090,@Nandi Parthasarathi ಹುಚ್ಚು ಮುಂಡೆ,Not-Hope
1795,10 lla 11 pramuka  kaarana  boy behano modi,Not-Hope
1774,ಕ್ರಿಮಿನಲ್ ಬುದ್ದವಂತಿಕೆ ..ಸೂಪರ್ ಹೀಗೆ ಇರಬೇಕು .. ನಮ್ಮ ದೇಶ ನೋ... ಚಾನ್ಸ್..,Not-Hope
2634,Namana Kudlada rakshith shetty innu orsbeku rashmikage Thu avla Janmake,Hope
6310,Dislike madiroru rashmika kade avre erbeku!,Not-Hope
1989,Hela Kannada people please go and watch the movieee avana Sri man Narayana Kannada cinema nodi 🤗Kannada jai Karnataka mathee,Not-Hope
2060,supper guruve liricys,Not-Hope
2236,ನಮ್ಮ ಚಂದನವನದ ಚಲನಚಿತ್ರಗಳು ತುಂಬಾ ವಿಭಿನ್ನವಾಗಿ ವಿಶಿಷ್ಟವಾಗಿ ಸುಂದರವಾಗಿ ಮೂಡಿ ಬರುತ್ತವೆ ಇದು ನಮ್ಮ ಹೆಮ್ಮೆಯ ಕನ್ನಡದ ಸಿನಿಮಾಗಳು ಯಾವ ಪರ ಬಾಷೆ ಚಲನಚಿತ್ರಗಳಿಗೂ ನಮ್ಮ ಕನ್ನಡ ಸಿನಿಮಮಾಗಳು ಕಮ್ಮಿ ಇಲ್ಲ ಕನ್ನಡವೇ ಸತ್ಯ ಕನ್ನಡವೇ ನಿತ್ಯ,Hope
4049,Stand Up for  Hands Up Song,Hope
7294,ಈ ಮೂವಿಯನ್ನು first day ನೋಡುವವರು ಲೈಕ್ ಮಾಡಿ,Not-Hope
6662,Kannada film industry ge mattondu gari,Hope
584,super guru  D BOSS,Not-Hope
3834,Sir really talent  andre nimde nimmantavaru beku nam deshakke,Hope
2809,Music ultimate guru estu saari keldru kelbeku ansuthe,Not-Hope
1174,Hands up !!!,Hope
4313,ತೋಗರಿ ತಿಪ್ಪ‌  ಜಾನಪದ ಹಸ್ಯ ಕಥೆ,Not-Hope
7531,ಸೂಪರ್ ಬಗ್ರೌಂಡ್ music,Hope
1541,#ಕನ್ನಡಿಗರು ಲೈಕ್ ಮಾಡಿ ಪ್ಲೀಸ್,Not-Hope
1743,ನಮ್ಮ ಜನರನ್ನು ಕೇವಲ ಸುಳ್ಳಿನ ಭ್ರಮಾಲೋಕದಲ್ಲೇ ಸುತ್ತಿಸುವ ನಮ್ಮ ಕನ್ನಡದ ಮಾಧ್ಯಮದೊಳಗೆ ಸತ್ಯದ ಕಹಿಯನ್ನು ನೇರವಾಗಿ ತಿಳಿಸಿದ್ದಕ್ಕೆ ಧನ್ಯವಾದಗಳು ಅಮರ್ ರವರೇ.,Not-Hope
5073,Togari. Tippa. Super,Not-Hope
6854,Very good song,Hope
2610,@Shrthi Shrthi huiuu,Not-Hope
1284,Pakka Anna Nivu helidu pakka nija,Not-Hope
649,Tumba satyavada mathu kanri. Sakath bejar aguthe. Nav yargu mosa anyaya madilla.. Adru inu olleyade agtilla bega.. Eladralu struggle agtide,Not-Hope
1891,ಕುಮಾರವ್ಯಾಸ ಅಂದರೆ ಗದುಗಿನ ನಾರಣಪ್ಪ ನವರ ಬಗ್ಗೆ ಅಭ್ಯಾಸ ಮಾಡಿ,Not-Hope
1389,Howdu tumba reveal mad bitru,Not-Hope
2413,Music superaagi kottidiya guru,Not-Hope
6448,@Ashwini CP pls movie nodi. Ondu olle movie na mis madkolbedi.,Not-Hope
955,Good job.....,Hope
5972,ನೀನು ಒಳ್ಳೆಯದೇ ಮಾತನಾಡಿದಿಯಾ ಗುರು ನಿನ್ನಗೆ ಧನ್ಯವಾದ ಗುರು,Hope
2964,ಯಾಕ್ರೀ ಟ್ರೇಲರ್ ನೋಡಿಲ್ಲ ಆಗ್ಲೇ dislike...........,Not-Hope
907,Idonde voledagiradu 2020 li,Not-Hope
2917,@Praveen Kumar jaathi naayi banthu helu,Not-Hope
3473,@akshay kumar Guru nan movie na first week theater nalli nodde I liked movie and referred my friends to see movie ಯಾರು ನೋಡಲಿಲ್ಲ ಅಂಥ ಅಂದ್ರೆ ನಾನ್ ನೋಡಿಲ್ಲ ಪ್ರೋತ್ಸಾಹ ಕೊಟಿಲ್ಲ ಅಂಥ ಅಲ್ಲ ದಯವಿಟ್ಟು ನೋಡ್ಕೊಂಡ್ ಮಾತಾಡಿ ನಮ್ಗೂ mathadokke ಬರುತೆ,Not-Hope
2417,slum dialogue pogaru,Hope
4281,Godiyaga isfet adatida,Not-Hope
5078,Super togari tippa story,Hope
3739,Super Ann nanagu. Tik tok.banna  agude bekagitu,Not-Hope
5097,ತೊಗರಿ ತಿಪ್ಪ ಭಾಗ 2 ಅಪ್ಪ್ಲೊಡ ಮಾಡಿರಿ,Not-Hope
5656,ನಾವು ಕೇವಲ ಕನಸು ಮಾತ್ರ ಕಾಣುತ ಇದೇವೆ ಒಂದು ವೇಳೆ ಉತ್ಪಾದನೆ ಮಾಡಿದರು ಕೂಡ ಅದನ್ನು ಎಕ್ಸ್ಪೋರ್ಟ್ ಮಾಡಲು ಧೋಡ್ಡ ಗಾತ್ರದ ಹಡಗು ನಿಲ್ಲಿಸಲು ಬಂದರು ಕೂಡ ಇಲ್ಲ ಅದಕ್ಕೂ ನಾವು ದುಬೈ ಅವಲಂಬಿತ ರಗಿದೇವೆ. ತುಂಬಾ ಕೆಲಸಗಳು ಬಾಕಿ ಇದೆ,Not-Hope
3346,Super agi helidiya guru,Not-Hope
1395,@Manjunath v ನಾನು ಅಷ್ಟೇ ಯಶ್ ಫ್ಯಾನ್,Not-Hope
5609,ಚೀನಾ ಒಂದು ವಿಷಯಕ್ಕೆ ಇಷ್ಟ ಆಗುತ್ತೆ nಏನೆಂದರೆ,Not-Hope
7217,Nannu nimma fan sir,Not-Hope
5227,@Nandi Parthasarathi ಉಮ್ಮ್ ನಿನ್ ತುಲ್ಲುಗೆ ನನ್ ರಸ,Not-Hope
2341,Film re realise madi,Hope
5677,Yelli eddru guru e music director super music ultimate music,Hope
566,ಪ್ರಯತ್ನಕ್ಕೆ ದೊಡ್ಡ ಸಲಾಂ,Hope
3068,Superb guru god bless,Hope
2301,Please re- release madi movie..nodade eiroru tumba jana eidare .. wait madtidare theater alli nodoke.,Hope
3717,Nisha preety avalna avlu dodda buddivanthe deshada Asti avlu eval video Ella Andre Jana sathogtare antha avalge fallowers bekanthe instadalli thu kachadagalu taleli 3 kasina buddi Elladavella yak saytidave,Not-Hope
5204,@Nandi Parthasarathi 🤘ಉರ್ಕೊಂಡು ಊರ ಬಿದ್ದರು ಅಂದ್ರೆ🤫🤫 ತಿಕ ಕುಡ್ಕೊಂಡು ಕಾಮೆಂಟ್ ಮಾಡಕ್ ಬಂದಿದ್ದೀರಾ🤣🤣,Not-Hope
4354,Sundara vada camedey,Not-Hope
1121,Dislikers Are rashmika fans maybe,Not-Hope
739,Different r s maga ninu,Not-Hope
4484,Ossam ASN Super song,Not-Hope
94,Supergie halliediera bro,Not-Hope
4437,Sir modalu namm Deshadalli Tustikaran rajakarana irorvaregu namm paristiti ide,Not-Hope
7061,Anna nenu super super Anna,Hope
4768,Jai D Boss,Hope
